"Date","AQS_SITE_ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2018","482011035","1","0.2","ppm","2","19","79.0000","42101","Carbon monoxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.733726","-95.257593"
"01/02/2018","482011035","1","0.2","ppm","2","24","100.0000","42101","Carbon monoxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.733726","-95.257593"
"01/03/2018","482011035","1","0.7","ppm","8","24","100.0000","42101","Carbon monoxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.733726","-95.257593"
"01/04/2018","482011035","1","1.2","ppm","14","24","100.0000","42101","Carbon monoxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.733726","-95.257593"
"01/05/2018","482011035","1","0.6","ppm","7","24","100.0000","42101","Carbon monoxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.733726","-95.257593"
"01/06/2018","482011035","1","0.4","ppm","5","24","100.0000","42101","Carbon monoxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.733726","-95.257593"
"01/07/2018","482011035","1","0.2","ppm","2","24","100.0000","42101","Carbon monoxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.733726","-95.257593"
"01/08/2018","482011035","1","0.3","ppm","3","24","100.0000","42101","Carbon monoxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.733726","-95.257593"
"01/09/2018","482011035","1","0.3","ppm","3","24","100.0000","42101","Carbon monoxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.733726","-95.257593"
"01/10/2018","482011035","1","0.3","ppm","3","24","100.0000","42101","Carbon monoxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.733726","-95.257593"
"01/11/2018","482011035","1","0.3","ppm","3","24","100.0000","42101","Carbon monoxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.733726","-95.257593"
"01/12/2018","482011035","1","0.3","ppm","3","24","100.0000","42101","Carbon monoxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.733726","-95.257593"
"01/13/2018","482011035","1","0.5","ppm","6","24","100.0000","42101","Carbon monoxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.733726","-95.257593"
"01/14/2018","482011035","1","0.5","ppm","6","24","100.0000","42101","Carbon monoxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.733726","-95.257593"
"01/15/2018","482011035","1","0.2","ppm","2","24","100.0000","42101","Carbon monoxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.733726","-95.257593"
"01/16/2018","482011035","1","0.2","ppm","2","24","100.0000","42101","Carbon monoxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.733726","-95.257593"
"01/17/2018","482011035","1","0.3","ppm","3","24","100.0000","42101","Carbon monoxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.733726","-95.257593"
"01/18/2018","482011035","1","0.4","ppm","5","24","100.0000","42101","Carbon monoxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.733726","-95.257593"
"01/19/2018","482011035","1","0.3","ppm","3","24","100.0000","42101","Carbon monoxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.733726","-95.257593"
"01/20/2018","482011035","1","0.2","ppm","2","24","100.0000","42101","Carbon monoxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.733726","-95.257593"
"01/21/2018","482011035","1","0.2","ppm","2","24","100.0000","42101","Carbon monoxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.733726","-95.257593"
"01/22/2018","482011035","1","0.4","ppm","5","24","100.0000","42101","Carbon monoxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.733726","-95.257593"
"01/23/2018","482011035","1","0.5","ppm","6","24","100.0000","42101","Carbon monoxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.733726","-95.257593"
"01/24/2018","482011035","1","0.4","ppm","5","24","100.0000","42101","Carbon monoxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.733726","-95.257593"
"01/25/2018","482011035","1","0.7","ppm","8","24","100.0000","42101","Carbon monoxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.733726","-95.257593"
